elem_id,type,node_i,node_j,material,section,L,E,G,alpha,A,Iy,Iz,J
1,3D_truss,1,2,steel_truss,A1,1000.0,200.0,0.0,0.0,1200.0,0.0,0.0,0.0
2,3D_truss,2,3,steel_truss,A1,1000.0,200.0,0.0,0.0,1200.0,0.0,0.0,0.0
3,3D_truss,4,5,steel_truss,A1,1000.0,200.0,0.0,0.0,1200.0,0.0,0.0,0.0
4,3D_truss,5,6,steel_truss,A1,1000.0,200.0,0.0,0.0,1200.0,0.0,0.0,0.0
5,3D_truss,7,8,steel_truss,A1,1000.0,200.0,0.0,0.0,1200.0,0.0,0.0,0.0
6,3D_truss,8,9,steel_truss,A1,1000.0,200.0,0.0,0.0,1200.0,0.0,0.0,0.0
7,3D_truss,1,4,steel_truss,A1,1000.0,200.0,0.0,0.0,1200.0,0.0,0.0,0.0
8,3D_truss,4,7,steel_truss,A1,1000.0,200.0,0.0,0.0,1200.0,0.0,0.0,0.0
9,3D_truss,2,5,steel_truss,A1,1000.0,200.0,0.0,0.0,1200.0,0.0,0.0,0.0
10,3D_truss,5,8,steel_truss,A1,1000.0,200.0,0.0,0.0,1200.0,0.0,0.0,0.0
11,3D_truss,3,6,steel_truss,A1,1000.0,200.0,0.0,0.0,1200.0,0.0,0.0,0.0
12,3D_truss,6,9,steel_truss,A1,1000.0,200.0,0.0,0.0,1200.0,0.0,0.0,0.0
13,3D_truss,1,5,steel_truss,A2,1414.213562373095,200.0,0.0,0.0,900.0,0.0,0.0,0.0
14,3D_truss,2,6,steel_truss,A2,1414.213562373095,200.0,0.0,0.0,900.0,0.0,0.0,0.0
15,3D_truss,4,8,steel_truss,A2,1414.213562373095,200.0,0.0,0.0,900.0,0.0,0.0,0.0
16,3D_truss,5,9,steel_truss,A2,1414.213562373095,200.0,0.0,0.0,900.0,0.0,0.0,0.0
17,3D_truss,10,11,steel_truss,A2,1000.0,200.0,0.0,0.0,900.0,0.0,0.0,0.0
18,3D_truss,11,12,steel_truss,A2,1000.0,200.0,0.0,0.0,900.0,0.0,0.0,0.0
19,3D_truss,13,14,steel_truss,A2,1000.0,200.0,0.0,0.0,900.0,0.0,0.0,0.0
20,3D_truss,14,15,steel_truss,A2,1000.0,200.0,0.0,0.0,900.0,0.0,0.0,0.0
21,3D_truss,16,17,steel_truss,A2,1000.0,200.0,0.0,0.0,900.0,0.0,0.0,0.0
22,3D_truss,17,18,steel_truss,A2,1000.0,200.0,0.0,0.0,900.0,0.0,0.0,0.0
23,3D_truss,10,13,steel_truss,A2,1000.0,200.0,0.0,0.0,900.0,0.0,0.0,0.0
24,3D_truss,13,16,steel_truss,A2,1000.0,200.0,0.0,0.0,900.0,0.0,0.0,0.0
25,3D_truss,11,14,steel_truss,A2,1000.0,200.0,0.0,0.0,900.0,0.0,0.0,0.0
26,3D_truss,14,17,steel_truss,A2,1000.0,200.0,0.0,0.0,900.0,0.0,0.0,0.0
27,3D_truss,12,15,steel_truss,A2,1000.0,200.0,0.0,0.0,900.0,0.0,0.0,0.0
28,3D_truss,15,18,steel_truss,A2,1000.0,200.0,0.0,0.0,900.0,0.0,0.0,0.0
29,3D_truss,10,14,steel_truss,A3,1414.213562373095,200.0,0.0,0.0,700.0,0.0,0.0,0.0
30,3D_truss,11,15,steel_truss,A3,1414.213562373095,200.0,0.0,0.0,700.0,0.0,0.0,0.0
31,3D_truss,13,17,steel_truss,A3,1414.213562373095,200.0,0.0,0.0,700.0,0.0,0.0,0.0
32,3D_truss,14,18,steel_truss,A3,1414.213562373095,200.0,0.0,0.0,700.0,0.0,0.0,0.0
33,3D_truss,1,10,steel_truss,A3,1200.0,200.0,0.0,0.0,700.0,0.0,0.0,0.0
34,3D_truss,2,11,steel_truss,A3,1200.0,200.0,0.0,0.0,700.0,0.0,0.0,0.0
35,3D_truss,3,12,steel_truss,A3,1200.0,200.0,0.0,0.0,700.0,0.0,0.0,0.0
36,3D_truss,4,13,steel_truss,A3,1200.0,200.0,0.0,0.0,700.0,0.0,0.0,0.0
37,3D_truss,5,14,steel_truss,A3,1200.0,200.0,0.0,0.0,700.0,0.0,0.0,0.0
38,3D_truss,6,15,steel_truss,A3,1200.0,200.0,0.0,0.0,700.0,0.0,0.0,0.0
39,3D_truss,7,16,steel_truss,A3,1200.0,200.0,0.0,0.0,700.0,0.0,0.0,0.0
40,3D_truss,8,17,steel_truss,A3,1200.0,200.0,0.0,0.0,700.0,0.0,0.0,0.0
41,3D_truss,9,18,steel_truss,A3,1200.0,200.0,0.0,0.0,700.0,0.0,0.0,0.0
42,3D_truss,10,2,steel_truss,A4,1562.049935181331,200.0,0.0,0.0,600.0,0.0,0.0,0.0
43,3D_truss,11,3,steel_truss,A4,1562.049935181331,200.0,0.0,0.0,600.0,0.0,0.0,0.0
44,3D_truss,13,5,steel_truss,A4,1562.049935181331,200.0,0.0,0.0,600.0,0.0,0.0,0.0
45,3D_truss,14,6,steel_truss,A4,1562.049935181331,200.0,0.0,0.0,600.0,0.0,0.0,0.0
46,3D_truss,16,8,steel_truss,A4,1562.049935181331,200.0,0.0,0.0,600.0,0.0,0.0,0.0
47,3D_truss,17,9,steel_truss,A4,1562.049935181331,200.0,0.0,0.0,600.0,0.0,0.0,0.0
48,3D_truss,10,4,steel_truss,A4,1562.049935181331,200.0,0.0,0.0,600.0,0.0,0.0,0.0
